profile,record_type,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
fcart_6-0-0,acquisition,Acquisition Information,"",Reference number,"",acquisitionReferenceNumber,string,y,n,n/a,"",""
fcart_6-0-0,acquisition,Acquisition Information,"",Accession date,"",accessionDateGroup,structured date group,n,n,n/a,"",""
fcart_6-0-0,acquisition,Acquisition Information,Authorization,Authorizer,"",acquisitionAuthorizer,string,n,n,n/a,authority: person/local,""
fcart_6-0-0,acquisition,Acquisition Information,Authorization,Authorization date,"",acquisitionAuthorizerDate,date,n,n,n/a,"",""
fcart_6-0-0,acquisition,Acquisition Information,"",Acquisition date,acquisitionDateGroupList,acquisitionDateGroup,structured date group,n,y,n,"",""
fcart_6-0-0,acquisition,Acquisition Information,"",Acquisition method,"",acquisitionMethod,string,n,n,n/a,option list: acquisitionMethods,"bequest, commission, exchange, found in collection, gift, purchase, transfer, treasure, unknown"
fcart_6-0-0,acquisition,Acquisition Information,"",Acquisition source,acquisitionSources,acquisitionSource,string,n,y,n,authority: person/local; authority: organization/local,""
fcart_6-0-0,acquisition,Acquisition Information,"",Owner,owners,owner,string,n,y,n,authority: person/local; authority: organization/local,""
fcart_6-0-0,acquisition,Acquisition Information,"",Transfer of title number,"",transferOfTitleNumber,string,n,n,n/a,"",""
fcart_6-0-0,acquisition,Acquisition Information,Price Information > Group purchase price,Group purchase price currency,"",groupPurchasePriceCurrency,string,n,n,n/a,vocabulary: currency,""
fcart_6-0-0,acquisition,Acquisition Information,Price Information > Group purchase price,Group purchase price value,"",groupPurchasePriceValue,float,n,n,n/a,"",""
fcart_6-0-0,acquisition,Acquisition Information,Price Information > Object offer price,Object offer price currency,"",objectOfferPriceCurrency,string,n,n,n/a,vocabulary: currency,""
fcart_6-0-0,acquisition,Acquisition Information,Price Information > Object offer price,Object offer price value,"",objectOfferPriceValue,float,n,n,n/a,"",""
fcart_6-0-0,acquisition,Acquisition Information,Price Information > Object purchaser offer price,Object purchaser offer price currency,"",objectPurchaseOfferPriceCurrency,string,n,n,n/a,vocabulary: currency,""
fcart_6-0-0,acquisition,Acquisition Information,Price Information > Object purchaser offer price,Object purchaser offer price value,"",objectPurchaseOfferPriceValue,float,n,n,n/a,"",""
fcart_6-0-0,acquisition,Acquisition Information,Price Information > Object purchase price,Object purchase price currency,"",objectPurchasePriceCurrency,string,n,n,n/a,vocabulary: currency,""
fcart_6-0-0,acquisition,Acquisition Information,Price Information > Object purchase price,Object purchase price value,"",objectPurchasePriceValue,float,n,n,n/a,"",""
fcart_6-0-0,acquisition,Acquisition Information,Price Information > Original object purchase price,Original object purchase price currency,"",originalObjectPurchasePriceCurrency,string,n,n,n/a,vocabulary: currency,""
fcart_6-0-0,acquisition,Acquisition Information,Price Information > Original object purchase price,Original object purchase price value,"",originalObjectPurchasePriceValue,float,n,n,n/a,"",""
fcart_6-0-0,acquisition,Acquisition Information,"",Acquisition reason,"",acquisitionReason,string,n,n,n/a,"",""
fcart_6-0-0,acquisition,Acquisition Information,Approval,Approval,approvalGroupList > approvalGroup,approvalGroup,string,n,n,y,vocabulary: deaccessionapprovalgroup,""
fcart_6-0-0,acquisition,Acquisition Information,Approval,Approval individual,approvalGroupList > approvalGroup,approvalIndividual,string,n,n,y,authority: person/local,""
fcart_6-0-0,acquisition,Acquisition Information,Approval,Approval status,approvalGroupList > approvalGroup,approvalStatus,string,n,n,y,vocabulary: deaccessionapprovalstatus,""
fcart_6-0-0,acquisition,Acquisition Information,Approval,Approval status date,approvalGroupList > approvalGroup,approvalDate,date,n,n,y,"",""
fcart_6-0-0,acquisition,Acquisition Information,Approval,Approval note,approvalGroupList > approvalGroup,approvalNote,string,n,n,y,"",""
fcart_6-0-0,acquisition,Acquisition Information,"",Note,"",acquisitionNote,string,n,n,n/a,"",""
fcart_6-0-0,acquisition,Acquisition Information,"",Provisos,"",acquisitionProvisos,string,n,n,n/a,"",""
fcart_6-0-0,acquisition,Acquisition Information,Funding,Funding currency,acquisitionFundingList > acquisitionFunding,acquisitionFundingCurrency,string,n,n,y,vocabulary: currency,""
fcart_6-0-0,acquisition,Acquisition Information,Funding,Funding value,acquisitionFundingList > acquisitionFunding,acquisitionFundingValue,float,n,n,y,"",""
fcart_6-0-0,acquisition,Acquisition Information,Funding,Funding source,acquisitionFundingList > acquisitionFunding,acquisitionFundingSource,string,n,n,y,authority: person/local; authority: organization/local,""
fcart_6-0-0,acquisition,Acquisition Information,Funding,Funding source provisos,acquisitionFundingList > acquisitionFunding,acquisitionFundingSourceProvisos,string,n,n,y,"",""
fcart_6-0-0,acquisition,Acquisition Information,"",Credit line,"",creditLine,string,n,n,n/a,"",""
fcart_6-0-0,citation,Citation Information,Term,Term display name,citationTermGroupList > citationTermGroup,termDisplayName,string,y,n,y,"",""
fcart_6-0-0,citation,Citation Information,Term,Term status,citationTermGroupList > citationTermGroup,termStatus,string,n,n,y,option list: citationTermStatuses,"accepted, provisional, rejected, under review"
