profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,repeats,group_repeats,data_source_type,data_source_name
herbarium_3-0-0-7991292,Citation,citation,Citation Information,"",Publication date,publicationDate,ns2:citations_common.publicationDate,publicationDate,n,y,"",""
herbarium_3-0-0-7991292,Citation,citation,Citation Information,"",Resource identifier capture date,captureDate,ns2:citations_common.captureDate,captureDate,n,y,"",""
herbarium_3-0-0-7991292,Object,collectionobject,Object Identification Information,Identification by,Taxonomic identification date,determinationDateGroup,ns2:collectionobjects_naturalhistory_extension.determinationDateGroup,determinationDateGroup,n,y,"",""
herbarium_3-0-0-7991292,Object,collectionobject,Object History and Association Information,Associations,Associated date value,assocStructuredDateGroup,ns2:collectionobjects_common.assocStructuredDateGroup,assocStructuredDateGroup,n,y,"",""
herbarium_3-0-0-7991292,Object,collectionobject,Object History and Association Information,"",Ownership date,ownershipDateGroup,ns2:collectionobjects_common.ownershipDateGroup,ownershipDateGroup,y,n,"",""
herbarium_3-0-0-7991292,Object,collectionobject,Object Collection Information,"",Field collection date,fieldCollectionDateGroup,ns2:collectionobjects_common.fieldCollectionDateGroup,fieldCollectionDateGroup,n,n/a,"",""
herbarium_3-0-0-7991292,Object,collectionobject,Object Production Information,"",Production date,objectProductionDateGroup,ns2:collectionobjects_common.objectProductionDateGroup,objectProductionDateGroup,y,n,"",""
herbarium_3-0-0-7991292,Object,collectionobject,Object Description Information,Content,Content date,contentDateGroup,ns2:collectionobjects_common.contentDateGroup,contentDateGroup,n,n/a,"",""
herbarium_3-0-0-7991292,Exhibition,exhibition,Exhibition Information,"",Gallery rotation start date,galleryRotationStartDateGroup,ns2:exhibitions_common.galleryRotationStartDateGroup,galleryRotationStartDateGroup,n,y,"",""
herbarium_3-0-0-7991292,Exhibition,exhibition,Exhibition Information,"",Gallery rotation end date,galleryRotationEndDateGroup,ns2:exhibitions_common.galleryRotationEndDateGroup,galleryRotationEndDateGroup,n,y,"",""
herbarium_3-0-0-7991292,Object Exit,exit,Sale Information,"",Sale/auction date,saleDate,ns2:exits_common.saleDate,saleDate,n,n/a,"",""
herbarium_3-0-0-7991292,Media Handling,media,Media Handling Information,"",Date,dateGroup,ns2:media_common.dateGroup,dateGroup,y,n,"",""
herbarium_3-0-0-7991292,Organization,organization,Organization Information,"",Foundation date,foundingDateGroup,ns2:organizations_common.foundingDateGroup,foundingDateGroup,n,n/a,"",""
herbarium_3-0-0-7991292,Organization,organization,Organization Information,"",Dissolution date,dissolutionDateGroup,ns2:organizations_common.dissolutionDateGroup,dissolutionDateGroup,n,n/a,"",""
herbarium_3-0-0-7991292,Organization,organization,Organization Information,"",Contact date,contactDateGroup,ns2:organizations_common.contactDateGroup,contactDateGroup,n,y,"",""
herbarium_3-0-0-7991292,Organization,organization,Organization Information,"",Contact end date,contactEndDateGroup,ns2:organizations_common.contactEndDateGroup,contactEndDateGroup,n,y,"",""
herbarium_3-0-0-7991292,Person,person,Person Information,"",Birth date,birthDateGroup,ns2:persons_common.birthDateGroup,birthDateGroup,n,n/a,"",""
herbarium_3-0-0-7991292,Person,person,Person Information,"",Death date,deathDateGroup,ns2:persons_common.deathDateGroup,deathDateGroup,n,n/a,"",""
herbarium_3-0-0-7991292,Person,person,Maker-Supplied Identity Information,"",Birth date supplied,suppliedStructuredBirthDateGroup,ns2:persons_common.suppliedStructuredBirthDateGroup,suppliedStructuredBirthDateGroup,n,y,"",""
herbarium_3-0-0-7991292,Place,place,Place Information,"",Term date,nameDateGroup,ns2:places_common.nameDateGroup,nameDateGroup,n,y,"",""
herbarium_3-0-0-7991292,Place,place,Place Information,"",Ownership date,ownershipDateGroup,ns2:places_common.ownershipDateGroup,ownershipDateGroup,n,y,"",""
herbarium_3-0-0-7991292,Place,place,Georeference Information,"",Georeference date,geoRefDateGroup,ns2:places_common.geoRefDateGroup,geoRefDateGroup,n,y,"",""
herbarium_3-0-0-7991292,Restricted Media Handling,restrictedmedia,Media Handling Information,"",Date,dateGroup,ns2:restrictedmedia_common.dateGroup,dateGroup,y,n,"",""
herbarium_3-0-0-7991292,Work,work,Work Information,"",Work date,workDateGroup,ns2:works_common.workDateGroup,workDateGroup,y,n,"",""
